Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2083,8303064873.7439575,433140444.39058,376104255.7492515,57036188.64132786,23520445112.857246,811642737.6397163,714578854.7505711,97063882.88914108,45039401568.65575,708576816.7039948,420409627.0495589,288167189.6544342,5734909522.460047,385531022.9443224,352755275.81013393,32775747.134189606,2338891021.6786137,1863848013.3595154,82597821077.71701,0.8998428725792967,1863848013.3595154,475043008.31909823
2084,8359267273.820836,435441043.85123336,379238643.7743548,56202400.07687855,23613609251.477577,812981734.000672,719817595.3803473,93164138.62033081,45322109359.36363,709321934.7593703,426614144.05147946,282707790.70788574,5766809209.617206,387157502.3868403,355257815.2296802,31899687.15715885,2344902214.998116,1880928198.4358616,83061795094.27925,0.8998665989935645,1880928198.4358616,463974016.5622544
2085,8414631922.690682,437700142.5830486,382335493.7132023,55364648.869846344,23702998410.360325,814259046.7594866,724869887.8767345,89389158.88274765,45599372527.937,710064585.941596,432801417.3682386,277263168.57336426,5797844948.713463,388735278.95771,357699539.8614539,31035739.09625721,2350759054.2418413,1897706338.8196292,83514847809.70148,0.8998870244569845,1897706338.8196292,453052715.4222121
2086,8469155638.812681,439917958.390608,385394242.26860857,54523716.12199879,23788736178.679977,815477531.8954347,729739763.5757867,85737768.31965256,45871210687.13888,710806141.404951,438967982.2030604,271838159.2018814,5828029441.8907,390265392.39385784,360080899.21661997,30184493.17723751,2356467024.0848517,1914182887.2640755,83957131946.52223,0.899904607742857,1914182887.2640755,442284136.8207762
2087,8522836002.744802,442094734.5842755,388414370.65215516,53680363.93212128,23870944697.03832,816639931.8684347,734431413.5100912,82208518.35834122,46137648068.30591,711547763.6886783,445110382.5216469,266437381.16703033,5857375922.8545885,391748889.28515637,362402408.32126814,29346480.96388817,2362031319.4265447,1930358575.0051613,84388804690.9436,0.8999197439858309,1930358575.0051613,431672744.4213834
2088,8575671337.230048,444230738.7131517,391395404.2279062,52835334.485245705,23949744414.606644,817748872.9690502,738949155.400724,78799717.56832504,46398713302.45408,712290412.0911772,451225177.94300205,261065234.14817047,5885898100.146286,393186820.57891476,364664643.28721654,28522177.291697502,2367456844.352294,1946234380.8588486,84810027154.43706,0.8999327734777312,1946234380.8588486,421222463.4934454
2089,8627660686.467981,446326261.30604494,394336912.06811076,51989349.23793316,24025253874.97604,818806863.7250988,743297403.3556988,75509460.36939621,46654439200.700455,713034848.932892,457308950.68651724,255725898.24637604,5913610102.462184,394580239.24399954,366868236.92810214,27712002.31589794,2372748213.208035,1961811503.0384288,85220963864.60666,0.8999439892559196,1961811503.0384288,410936710.1696062
2090,8678803794.666157,448381614.6236123,397238506.4254371,51143108.19817543,24097589529.03343,819816294.4147708,747480640.3573847,72335654.0573883,46904862534.78585,713781646.637367,463358312.55197483,250423334.0853958,5940526426.114649,395930198.09149665,369013874.4390311,26916323.652464867,2377909753.7672467,1977091333.7738276,85621782284.6001,0.8999536436478033,1977091333.7738276,400818419.9934192
2091,8729101083.964197,450397131.42449117,400099842.1264504,50297289.29804039,24166865573.16933,820779437.6963289,751503393.5604287,69276044.1359024,47150023818.43484,714531195.5573823,469369911.9083928,245161283.64898682,5966661884.706394,397237747.74797994,371102289.1562348,26135458.591745377,2382945512.4261823,1992075436.7515068,86012652360.27475,0.8999619539134904,1992075436.7515068,390870075.67467546
2092,8778553631.821049,452373163.7480237,402920615.891173,49452547.85685158,24233193811.129475,821698450.3261262,755370212.3659779,66328237.96014404,47389967090.24001,715283712.4723585,475340440.6671784,239943271.80517578,5992031561.072319,398503934.7772642,373134258.41134036,25369676.365924835,2387859261.3237724,2006765527.3356695,86393746094.26285,0.8999691071096947,2006765527.3356695,381093733.9881029
