Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock_change,steel_needed_vehicles,steel_needed_machinery,steel_needed_BC,steel_needed_appliances,total_steel_needed
1847,42590973.03924046,2782719.7337127114,1596088.5144754671,1186631.2192372382,2653499.6592466966,167254.1114889363,40139.35260757892,127114.75888135796,124047919.15779008,4226941.64551519,352219.73243480595,3874721.9130803943,4552938.443388012,389785.37475808954,218505.09390062914,171280.28085746057,7566700.865474928,2206952.6934184814,5359748.172056451,3150724.336178342,189372.86174019056,4785939.363128613,441333.0783039963,8567369.63935114
1848,43811475.79048974,2850905.3609686634,1630402.6097193828,1220502.7512492836,2787009.48674598,175671.4705462782,42161.6430469944,133509.82749928348,128047287.99146603,4375738.741755074,376369.9080791154,3999368.8336759508,4730909.4050967125,405456.27759910113,227485.31589040105,177970.96170870028,7807771.850869116,2276419.4767358936,5531352.374133218,3227927.2655895194,198903.3860351882,4954414.336226307,459076.4012670982,8840321.389118113
1849,45066808.95935904,2920870.6500681085,1665537.4811988107,1255333.1688693017,2927236.0432480522,184577.92465950747,44351.368157435456,140226.55650207214,132175294.87225437,4529552.11868497,401545.23789662536,4128006.880788341,4915832.028352891,421553.0960723707,236630.47281619188,184922.62325617857,8056553.789484956,2348064.5600690637,5708489.229415894,3307145.2106749415,208987.68643513074,5128568.974960337,477301.96566165163,9122003.837732062
1850,46357958.114863925,2993543.8301964644,1702394.6746915812,1291149.1555048823,3074517.160671824,193989.3876603621,46708.27023659022,147281.11742377188,136436057.4972701,4688503.3561993055,427740.73118356714,4260762.625015736,5107977.443872771,438088.80739872926,245943.39187884924,192145.41551988013,8314125.381454861,2422787.067990588,5891338.31346427,3389429.155566649,219643.78131834476,5308540.937725663,496024.4648989235,9413638.33950958
1851,47685936.22505548,3069727.912471728,1741749.8022801708,1327978.1101915538,3229207.6547334543,203921.32441770792,49230.83035607764,154690.49406163022,140833824.06796417,4852714.629655885,454948.05896183534,4397766.570694059,5307627.324757987,455101.74794802704,255451.86706281165,199649.88088521548,8581465.614493348,2501380.5586608956,6080085.055832459,3475688.3066935325,230889.18072657147,5494468.557128493,515287.305194777,9716333.349743374
1852,49051784.390263334,3150059.5776802013,1784211.4124723505,1365848.1652078554,3391680.1779291476,214389.26946605512,51916.746270361895,162472.52319569327,145372977.34083986,5022308.896552237,483155.6236765499,4539153.272875696,5515074.293837943,472650.0093406952,265203.0402607383,207446.9690799564,8859407.753039189,2584486.8226800007,6274920.9303592015,3566643.5435690684,242741.47358022546,5686491.051349906,535156.2605759683,10031032.329075169
1853,50456572.59429153,3234984.808526318,1830196.6044981137,1404788.2040281966,3562326.115270666,225409.32213201022,54763.384790492026,170645.93734151823,150058038.79827568,5197410.128712367,512348.67127654713,4685061.4574358165,5730622.346545543,490804.3192109671,275256.2665033679,215548.05270759948,9148608.578581663,2672564.927068521,6476043.651513131,3662799.8284944724,255218.88828352606,5884748.787038459,555711.4121500986,10358478.915966555
1854,51901400.47390752,3324751.6884763283,1879923.8088603402,1444827.8796159923,3741556.5249073696,236998.60262308182,57768.19298637785,179230.4096367038,154893672.94263932,5378143.590812369,542509.4464487456,4835634.144363642,5954587.289902212,509640.557467953,285675.61411128414,223964.9433566695,9449534.439379731,2765877.0624067476,6683657.376973008,3764438.053075553,268340.8091293952,6089383.594669802,577038.6746693308,10699201.131544081
1855,53387398.106963284,3419419.3068833402,1933421.673827585,1485997.6330557615,3929803.1258743196,249175.6598769357,60929.0589099854,188246.60096694995,159884691.71693966,5564636.165511316,573617.3912109777,4991018.774300337,6187297.198207996,529232.9176475152,296523.00934173015,232709.90830578376,9762464.049919106,2864491.1332902783,6897972.916628832,3871625.1210182747,282128.23808529857,6300539.13667495,599222.053495828,11053514.549274351
1856,54915726.81948677,3518880.4378887,1990551.7253652131,1528328.7125234827,4127519.3353165183,261960.82727430318,64244.61783210487,197716.20944219874,165036059.05531776,5757016.724851381,605649.3864732595,5151367.338378102,6429092.886053261,549648.4814367809,307852.79359151656,241795.6878452655,10087506.471451167,2968298.5232620942,7119207.948189048,3984239.6262326767,296604.19754789764,6518361.327956727,622337.5016267899,11421542.65336409
1857,56487580.01208247,3622894.7213616376,2051041.5287659373,1571853.1925957054,4335181.357655452,275376.5263410356,67714.50400210239,207662.0223389333,170352895.5667392,5955416.546985187,638580.0355637311,5316836.511421442,6680328.399289741,570943.6778951484,319708.16465866857,251235.51323647983,10424631.472583009,3077044.232990439,7347587.239592561,4102009.4218315645,311794.0742086001,6742998.807727793,646448.9106602677,11803251.214428224
1858,58104184.00597555,3731128.5341273686,2114524.5402342835,1616603.9938930795,4553289.328285932,289447.5212693719,71339.55063889151,218107.97063047998,175840483.35529965,6159969.776654333,672381.9880938737,5487587.78856045,6941371.524620274,593162.7908461812,332119.66551564774,261043.1253305329,10773708.622897254,3190365.7444826965,7583342.878414542,4224556.764184068,327725.9072343432,6974603.460885794,671606.4207950422,12198492.553099247
1859,59766798.90903425,3843197.6085643396,2180582.705505641,1662614.9030587003,4782368.514518593,304201.1286104915,75121.94237782978,229079.18623266183,181504270.98061538,6370813.9272338925,707026.3019181932,5663787.625315726,7212604.318489226,616338.396560844,345105.6026918927,271232.7938689515,11134551.060969569,3307836.552493557,7826714.508476039,4351446.567667957,344430.6256912268,7213330.986451418,697846.9163958832,12607055.096206486
1860,61476719.50210043,3958708.6944596744,2248788.1013934966,1709920.5930661783,5022970.576617301,319667.3870752953,79065.32497658706,240602.062098708,187349878.56181794,6588090.421540254,742482.8403376935,5845607.581202567,7494423.655978394,640493.3890417883,358674.05155262025,281819.33748916816,11506959.892117012,3429010.3182603973,8077949.573856621,4482233.576154523,361942.2408008326,7459341.509896121,725196.3191143436,13028713.64596582
1861,63235276.14595421,4077297.0949466676,2318740.451092896,1758556.6438537762,5275674.891920607,335879.1923187868,83174.87701548226,252704.31530330516,193383103.02872726,6811945.168025415,778720.7011160892,6033224.466909319,7787241.80043702,665644.1013029033,372825.9568442776,292818.1444586264,11890765.556593772,3553461.986068745,8337303.570525027,4616504.862937803,380297.998549351,7712800.235536023,753673.121946222,13463276.2189694
1862,65043835.70923591,4198657.644966819,2390098.0816851067,1808559.5632817,5541089.94518357,352872.401165717,87457.3479027546,265415.05326296296,199609923.5238189,7042529.168424983,815708.6733333261,6226820.495091647,8091486.99459854,691803.965788801,387558.7716272806,304245.1941615194,12285863.18034632,3680822.8745484687,8605040.30579783,4753914.905985982,399538.49769669044,7973878.134539156,783292.533728262,13910624.071950091
1863,66903802.51763991,4322567.5426778365,2462600.73427384,1859966.808404006,5819854.7884298805,370685.9092056919,91921.06595938018,278764.84324631095,206036506.95865282,7279999.152438002,853415.7176041186,6426583.434833914,8407604.073961724,718987.1719559863,402870.09259280184,316117.07936318405,12692239.776277516,3810807.610430141,8881432.165847415,4894211.438720376,419707.7776332562,8242752.663539404,814070.6204211802,14370742.500314217
1864,68816619.3246915,4448900.299411362,2536083.492359768,1912816.8070515916,6112640.573765422,389361.7052293911,96575.91989384966,292785.7853355417,212669213.72846836,7524518.234565596,891811.4647500338,6632706.769815534,8736055.103239382,747211.860842288,418760.8315646305,328451.0292776581,13109992.100048637,3943231.708568282,9166760.391480325,5037251.244804531,440853.38001516205,8519608.50833967,846027.9221493297,14843741.055308692
1865,70783768.3044087,4577630.866383754,2610481.886666556,1967148.979717195,6420152.162773523,408944.90570321976,101433.316695119,307511.58900810033,219514603.58869353,7776256.587866438,930866.7276412657,6845389.860225171,9077320.036703609,776502.5251408708,435237.5916766441,341264.93346422724,13539334.885094281,4078019.5226795846,9461315.362414693,5183005.962843924,463026.38779802964,8804638.346769065,879192.1706758048,15329862.868086824
1866,72806772.06614184,4708832.67044807,2685828.908714925,2023003.7617331445,6743129.816288833,429483.77242913994,106506.11891383008,322977.65351531,226579441.6971467,8035392.129081009,970554.0206278223,7064838.108453184,9431897.403283535,806891.4354741181,452314.0688941921,354577.36657992564,13980600.007432338,4215203.11715077,9765396.890281564,5331558.730126891,486281.44523226895,9098043.624412375,913599.9042958765,15829483.704067413
