year,vehicles,machinery,BC,appliances
1900,0.179350518036637,0.137017233159745,0.604797209347797,0.078835039455821
1901,0.179456290308591,0.136082377084935,0.605898579648053,0.078562752958420
1902,0.179611737030074,0.135151342591918,0.606799428423232,0.078437491954775
1903,0.179647231097157,0.134196023867828,0.607848470028751,0.078308275006264
1904,0.179446181679796,0.133285962428533,0.609224489414965,0.078043366476706
1905,0.179612566375968,0.132257098359839,0.610031576448116,0.078098758816076
1906,0.179846588889635,0.131228888175942,0.610645928137967,0.078278594796456
1907,0.179937164805963,0.130204972140540,0.611464226670276,0.078393636383220
1908,0.179030301396585,0.129364527555103,0.613691140018129,0.077914031030183
1909,0.178720123308957,0.128364993377053,0.615126141579803,0.077788741734187
1910,0.178510594906408,0.127366772071272,0.616358214802322,0.077764418219998
1911,0.178031173646918,0.126419553260153,0.617969126385932,0.077580146706997
1912,0.178006249855193,0.125363872997733,0.619031526307156,0.077598350839917
1913,0.178199311805785,0.124414198613252,0.619648584012744,0.077737905568218
1914,0.177166731351989,0.123584381206319,0.622033082703094,0.077215804738598
1915,0.176149063000555,0.122794935650931,0.624337696480753,0.076718304867761
1916,0.175706087735275,0.121917269807505,0.625871600218432,0.076505042238788
1917,0.174930918838581,0.121160398556124,0.627740949587185,0.076167733018111
1918,0.173612592521310,0.120438701022449,0.630392284132214,0.075556422324028
1919,0.171282669891103,0.119726583509181,0.634688847175206,0.074301899424510
1920,0.169299443763950,0.118955760462743,0.638489260049865,0.073255535723443
1921,0.165987846835294,0.118049488877819,0.644642922008848,0.071319742278040
1922,0.163319317763292,0.117154209694115,0.649647187156082,0.069879285386510
1923,0.160968833109428,0.116283226121614,0.654072999623651,0.068674941145308
1924,0.158455275860526,0.115482840330251,0.658593554834601,0.067468328974621
1925,0.156300670510280,0.114560716722333,0.662640689516555,0.066497923250831
1926,0.154174701798634,0.113432784612613,0.666913246958030,0.065479266630723
1927,0.155269201794709,0.110910946249423,0.669101306530570,0.064718545425297
1928,0.153800448365523,0.110010847687587,0.671904972793765,0.064283731153125
1929,0.152808758813256,0.109157928074735,0.673869814005080,0.064163499106929
1930,0.150681391408215,0.108156750517767,0.677713411137202,0.063448446936815
1931,0.147493073157356,0.107004131437399,0.683355905076854,0.062146890328392
1932,0.143530739267819,0.105758821679641,0.690250762106774,0.060459676945766
1933,0.140211521078674,0.104576469566273,0.696069637079529,0.059142372275523
1934,0.137736746321176,0.103540620307080,0.700435223513137,0.058287409858607
1935,0.136215935506954,0.102659545103041,0.703222101018260,0.057902418371745
1936,0.135469769444540,0.101935703786881,0.704456545301737,0.058137981466842
1937,0.135381790007983,0.101306838861528,0.704774573741589,0.058536797388899
1938,0.134310404685990,0.100611120814944,0.706685401726483,0.058393072772583
1939,0.134092306456051,0.100038416124547,0.707104744951702,0.058764532467701
1940,0.133851614993793,0.099461381022435,0.707568922528335,0.059118081455437
1941,0.133630452090327,0.098937542255400,0.707926567879505,0.059505437774768
1942,0.133557340394730,0.098410845838803,0.708132161745508,0.059899652020960
1943,0.133876941716839,0.097843535165273,0.707856215556146,0.060423307561742
1944,0.133832410163234,0.097219749539331,0.708255947801804,0.060691892495632
1945,0.132088249832029,0.096276644074044,0.711544144713467,0.060090961380460
