Year,L-SSP2,M-SSP2,SSP1
2025,0.270754,0.270754,0.270754
2030,7.9436824999999995,6.0516396,11.0921916
2035,31.6133587,23.7110044,54.7333235
2040,64.8382928,53.896890899999995,130.6262927
2045,101.7492529,91.4342962,238.7919527
2050,147.0046907,140.94322209999999,347.1739207
